pmcid,abbrev_count,word_count,abbrev_per_100_words
PMC8774754,12,180,6.67
PMC8947183,12,202,5.94
PMC9962823,5,80,6.25
PMC10512598,2,261,0.77
PMC10560736,4,291,1.37
PMC11083583,0,349,0.0
PMC11354741,6,202,2.97
PMC11450982,12,291,4.12
PMC11866927,6,245,2.45
PMC11939599,8,316,2.53
PMC11985456,1,141,0.71
PMC12054253,12,265,4.53
PMC12072621,13,224,5.8
PMC12155644,3,152,1.97
PMC12247434,21,217,9.68
PMC12295483,0,353,0.0
PMC12376918,16,256,6.25
PMC12413340,17,347,4.9
PMC12471037,1,213,0.47
PMC12496142,4,181,2.21
PMC12524621,3,125,2.4
PMC12607303,5,211,2.37
PMC12626347,0,154,0.0
PMC12650391,0,507,0.0
PMC12652886,0,220,0.0
PMC12653640,17,231,7.36
PMC12656031,14,188,7.45
PMC12670375,5,233,2.15
PMC12673887,21,216,9.72
PMC12675010,9,198,4.55
PMC12690791,11,324,3.4
PMC12690809,13,198,6.57
PMC12719245,3,216,1.39
PMC12728069,6,216,2.78
PMC12743660,0,251,0.0
PMC12755784,4,234,1.71
PMC12775759,3,188,1.6
PMC12775908,0,201,0.0
PMC12779616,4,226,1.77
PMC12799214,7,173,4.05
PMC12807972,14,288,4.86
PMC12815873,14,305,4.59
PMC12825033,5,248,2.02
PMC12829942,0,322,0.0
PMC12832483,17,288,5.9
PMC12832759,12,254,4.72
PMC12856215,10,204,4.9
PMC12865844,13,242,5.37
PMC12866911,7,243,2.88
PMC12869397,4,406,0.99
PMC12869416,6,239,2.51
PMC12869549,10,254,3.94
PMC12869559,16,198,8.08
PMC12869580,4,195,2.05
PMC12869590,21,581,3.61
PMC12869639,12,162,7.41
PMC12870712,6,150,4.0
PMC12871136,9,164,5.49
PMC12871179,7,384,1.82
PMC12871241,1,450,0.22
PMC12871244,0,177,0.0
PMC12871316,1,234,0.43
PMC12871334,7,250,2.8
PMC12871376,14,158,8.86
PMC12872877,34,376,9.04
PMC12873753,2,206,0.97
PMC12877874,28,244,11.48
PMC12882827,8,253,3.16
PMC12882843,28,278,10.07
PMC12882844,2,238,0.84
PMC12882847,3,267,1.12
PMC12882848,16,234,6.84
PMC12882849,17,221,7.69
PMC12882850,7,206,3.4
PMC12882852,17,239,7.11
PMC12882853,0,190,0.0
PMC12882854,20,257,7.78
PMC12882855,5,208,2.4
PMC12882856,11,280,3.93
PMC12882857,0,80,0.0
PMC12882858,7,204,3.43
PMC12882859,4,343,1.17
PMC12882860,8,197,4.06
PMC12882861,12,206,5.83
PMC12882862,9,262,3.44
PMC12882865,14,234,5.98
PMC12882868,2,277,0.72
PMC12882889,19,261,7.28
PMC12882901,6,724,0.83
PMC12882902,1,227,0.44
PMC12882907,6,218,2.75
PMC12882918,64,268,23.88
PMC12882933,0,199,0.0
PMC12882935,0,134,0.0
PMC12882938,4,175,2.29
PMC12882939,8,200,4.0
PMC12882940,17,264,6.44
__summary__,8,245,3.76
