pmcid,retrieval_token_len,n_chunks,strategy
PMC8774754,288,1,single
PMC8947183,374,1,single
PMC9962823,110,1,single
PMC10512598,435,1,single
PMC10560736,441,1,single
PMC11083583,466,1,single
PMC11354741,336,1,single
PMC11450982,447,1,single
PMC11866927,391,1,single
PMC11939599,530,2,sliding_window
PMC11985456,208,1,single
PMC12054253,441,1,single
PMC12072621,352,1,single
PMC12155644,240,1,single
PMC12247434,360,1,single
PMC12295483,695,3,sliding_window
PMC12376918,362,1,single
PMC12413340,506,1,single
PMC12471037,317,1,single
PMC12496142,273,1,single
PMC12524621,209,1,single
PMC12607303,421,1,single
PMC12626347,233,1,single
PMC12650391,946,3,sliding_window
PMC12652886,343,1,single
PMC12653640,347,1,single
PMC12656031,322,1,single
PMC12670375,374,1,single
PMC12673887,412,1,single
PMC12675010,324,1,single
PMC12690791,469,1,single
PMC12690809,331,1,single
PMC12719245,405,1,single
PMC12728069,427,1,single
PMC12743660,379,1,single
PMC12755784,300,1,single
PMC12775759,318,1,single
PMC12775908,286,1,single
PMC12779616,334,1,single
PMC12799214,269,1,single
PMC12807972,393,1,single
PMC12815873,534,2,sliding_window
PMC12825033,378,1,single
PMC12829942,455,1,single
PMC12832483,547,2,sliding_window
PMC12832759,423,1,single
PMC12856215,303,1,single
PMC12865844,329,1,single
PMC12866911,430,1,single
PMC12869397,634,4,sliding_window
PMC12869416,337,1,single
PMC12869549,417,1,single
PMC12869559,351,1,single
PMC12869580,304,1,single
PMC12869590,1088,4,sliding_window
PMC12869639,281,1,single
PMC12870712,220,1,single
PMC12871136,279,1,single
PMC12871179,639,3,sliding_window
PMC12871241,626,2,sliding_window
PMC12871244,304,1,single
PMC12871316,370,1,single
PMC12871334,413,1,single
PMC12871376,256,1,single
PMC12872877,666,3,sliding_window
PMC12873753,288,1,single
PMC12877874,458,1,single
PMC12882827,471,1,single
PMC12882843,547,2,sliding_window
PMC12882844,335,1,single
PMC12882847,394,1,single
PMC12882848,437,1,single
PMC12882849,586,3,sliding_window
PMC12882850,383,1,single
PMC12882852,359,1,single
PMC12882853,282,1,single
PMC12882854,434,1,single
PMC12882855,311,1,single
PMC12882856,512,1,single
PMC12882857,277,1,single
PMC12882858,332,1,single
PMC12882859,504,1,single
PMC12882860,315,1,single
PMC12882861,348,1,single
PMC12882862,456,1,single
PMC12882865,415,1,single
PMC12882868,476,1,single
PMC12882889,453,1,single
PMC12882901,1097,4,sliding_window
PMC12882902,375,1,single
PMC12882907,349,1,single
PMC12882918,642,3,sliding_window
PMC12882933,266,1,single
PMC12882935,273,1,single
PMC12882938,274,1,single
PMC12882939,317,1,single
PMC12882940,482,1,single
__summary__,,123,"single=83, multi=14"
